source_file,experiment_code,run,week,temperature,star_id,date,time,flip_number,start_frame,end_frame,duration_frames,duration_seconds,seconds_from_first_flip_start,total_frames
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,4,300,372,73,36.5,136.5,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,5,397,428,32,16.0,185.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,6,457,506,50,25.0,215.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,7,524,587,64,32.0,248.5,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,8,631,654,24,12.0,302.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,9,671,785,115,57.5,322.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,10,813,919,107,53.5,393.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,11,973,1026,54,27.0,473.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,12,1057,1083,27,13.5,515.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,13,1102,1173,72,36.0,537.5,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,14,1233,1264,32,16.0,603.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,15,1279,1375,97,48.5,626.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,16,1397,1439,43,21.5,685.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i3\0-11_19_23-13_10_37-i3.csv,R1_W2_14-5C,R1,W2,14.5C,i3,2023-11-19,13:10:37,1,39,93,55,27.5,0.0,1256
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i3\0-11_19_23-13_10_37-i3.csv,R1_W2_14-5C,R1,W2,14.5C,i3,2023-11-19,13:10:37,2,108,216,109,54.5,34.5,1256
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i3\0-11_19_23-13_10_37-i3.csv,R1_W2_14-5C,R1,W2,14.5C,i3,2023-11-19,13:10:37,3,237,322,86,43.0,99.0,1256
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i3\0-11_19_23-13_10_37-i3.csv,R1_W2_14-5C,R1,W2,14.5C,i3,2023-11-19,13:10:37,4,348,392,45,22.5,154.5,1256
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i3\0-11_19_23-13_10_37-i3.csv,R1_W2_14-5C,R1,W2,14.5C,i3,2023-11-19,13:10:37,5,409,462,54,27.0,185.0,1256
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i3\0-11_19_23-13_10_37-i3.csv,R1_W2_14-5C,R1,W2,14.5C,i3,2023-11-19,13:10:37,6,481,545,65,32.5,221.0,1256
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i3\0-11_19_23-13_10_37-i3.csv,R1_W2_14-5C,R1,W2,14.5C,i3,2023-11-19,13:10:37,7,575,627,53,26.5,268.0,1256
