source_file,experiment_code,run,week,temperature,star_id,date,time,flip_number,start_frame,end_frame,duration_frames,duration_seconds,seconds_from_first_flip_start,total_frames,flip_start_time,flip_end_time,total_duration_seconds,cumulative_flip_count
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p6\0-11_19_23-12_21_23-p6.csv,R1_W2_14-5C,R1,W2,14.5C,p6,2023-11-19,12:21:23,3,139,179,41,20.5,69.0,1314,69.5,89.5,657.0,1
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p6\0-11_19_23-12_21_23-p6.csv,R1_W2_14-5C,R1,W2,14.5C,p6,2023-11-19,12:21:23,4,199,236,38,19.0,99.0,1314,99.5,118.0,657.0,2
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p6\0-11_19_23-12_21_23-p6.csv,R1_W2_14-5C,R1,W2,14.5C,p6,2023-11-19,12:21:23,5,258,289,32,16.0,128.5,1314,129.0,144.5,657.0,3
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p6\0-11_19_23-12_21_23-p6.csv,R1_W2_14-5C,R1,W2,14.5C,p6,2023-11-19,12:21:23,6,312,332,21,10.5,155.5,1314,156.0,166.0,657.0,4
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p6\0-11_19_23-12_21_23-p6.csv,R1_W2_14-5C,R1,W2,14.5C,p6,2023-11-19,12:21:23,7,354,382,29,14.5,176.5,1314,177.0,191.0,657.0,5
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p6\0-11_19_23-12_21_23-p6.csv,R1_W2_14-5C,R1,W2,14.5C,p6,2023-11-19,12:21:23,8,400,436,37,18.5,199.5,1314,200.0,218.0,657.0,6
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p6\0-11_19_23-12_21_23-p6.csv,R1_W2_14-5C,R1,W2,14.5C,p6,2023-11-19,12:21:23,9,455,497,43,21.5,227.0,1314,227.5,248.5,657.0,7
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p6\0-11_19_23-12_21_23-p6.csv,R1_W2_14-5C,R1,W2,14.5C,p6,2023-11-19,12:21:23,10,513,557,45,22.5,256.0,1314,256.5,278.5,657.0,8
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p6\0-11_19_23-12_21_23-p6.csv,R1_W2_14-5C,R1,W2,14.5C,p6,2023-11-19,12:21:23,11,574,611,38,19.0,286.5,1314,287.0,305.5,657.0,9
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p9\0-11_19_23-12_33_38-p9.csv,R1_W2_14-5C,R1,W2,14.5C,p9,2023-11-19,12:33:38,2,133,194,62,31.0,35.0,1335,66.5,97.0,667.5,1
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p9\0-11_19_23-12_33_38-p9.csv,R1_W2_14-5C,R1,W2,14.5C,p9,2023-11-19,12:33:38,3,205,267,63,31.5,71.0,1335,102.5,133.5,667.5,2
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p9\0-11_19_23-12_33_38-p9.csv,R1_W2_14-5C,R1,W2,14.5C,p9,2023-11-19,12:33:38,4,290,355,66,33.0,113.5,1335,145.0,177.5,667.5,3
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p9\0-11_19_23-12_33_38-p9.csv,R1_W2_14-5C,R1,W2,14.5C,p9,2023-11-19,12:33:38,5,372,460,89,44.5,154.5,1335,186.0,230.0,667.5,4
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p9\0-11_19_23-12_33_38-p9.csv,R1_W2_14-5C,R1,W2,14.5C,p9,2023-11-19,12:33:38,6,479,507,29,14.5,208.0,1335,239.5,253.5,667.5,5
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p9\0-11_19_23-12_33_38-p9.csv,R1_W2_14-5C,R1,W2,14.5C,p9,2023-11-19,12:33:38,7,554,605,52,26.0,245.5,1335,277.0,302.5,667.5,6
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i2\0-12_04_23-14_02_09-i2.csv,R2_W1_12C,R2,W1,12C,i2,2023-12-04,14:02:09,3,145,152,8,4.0,70.5,1439,72.5,76.0,719.5,1
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i2\0-12_04_23-14_02_09-i2.csv,R2_W1_12C,R2,W1,12C,i2,2023-12-04,14:02:09,4,164,205,42,21.0,80.0,1439,82.0,102.5,719.5,2
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i2\0-12_04_23-14_02_09-i2.csv,R2_W1_12C,R2,W1,12C,i2,2023-12-04,14:02:09,5,244,277,34,17.0,120.0,1439,122.0,138.5,719.5,3
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i2\0-12_04_23-14_02_09-i2.csv,R2_W1_12C,R2,W1,12C,i2,2023-12-04,14:02:09,6,297,398,102,51.0,146.5,1439,148.5,199.0,719.5,4
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i2\0-12_04_23-14_02_09-i2.csv,R2_W1_12C,R2,W1,12C,i2,2023-12-04,14:02:09,7,430,485,56,28.0,213.0,1439,215.0,242.5,719.5,5
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i2\0-12_04_23-14_02_09-i2.csv,R2_W1_12C,R2,W1,12C,i2,2023-12-04,14:02:09,8,515,570,56,28.0,255.5,1439,257.5,285.0,719.5,6
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i2\0-12_04_23-14_02_09-i2.csv,R2_W1_12C,R2,W1,12C,i2,2023-12-04,14:02:09,9,590,653,64,32.0,293.0,1439,295.0,326.5,719.5,7
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i4\0-12_04_23-14_16_26-i4.csv,R2_W1_12C,R2,W1,12C,i4,2023-12-04,14:16:26,2,133,218,86,43.0,57.5,1242,66.5,109.0,621.0,1
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i4\0-12_04_23-14_16_26-i4.csv,R2_W1_12C,R2,W1,12C,i4,2023-12-04,14:16:26,3,241,324,84,42.0,111.5,1242,120.5,162.0,621.0,2
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i4\0-12_04_23-14_16_26-i4.csv,R2_W1_12C,R2,W1,12C,i4,2023-12-04,14:16:26,4,341,386,46,23.0,161.5,1242,170.5,193.0,621.0,3
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i4\0-12_04_23-14_16_26-i4.csv,R2_W1_12C,R2,W1,12C,i4,2023-12-04,14:16:26,5,406,435,30,15.0,194.0,1242,203.0,217.5,621.0,4
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i4\0-12_04_23-14_16_26-i4.csv,R2_W1_12C,R2,W1,12C,i4,2023-12-04,14:16:26,6,460,526,67,33.5,221.0,1242,230.0,263.0,621.0,5
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i4\0-12_04_23-14_16_26-i4.csv,R2_W1_12C,R2,W1,12C,i4,2023-12-04,14:16:26,7,543,623,81,40.5,262.5,1242,271.5,311.5,621.0,6
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i6\0-12_04_23-14_29_42-i6.csv,R2_W1_12C,R2,W1,12C,i6,2023-12-04,14:29:42,2,184,273,90,45.0,63.0,1264,92.0,136.5,632.0,1
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i6\0-12_04_23-14_29_42-i6.csv,R2_W1_12C,R2,W1,12C,i6,2023-12-04,14:29:42,3,318,395,78,39.0,130.0,1264,159.0,197.5,632.0,2
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i6\0-12_04_23-14_29_42-i6.csv,R2_W1_12C,R2,W1,12C,i6,2023-12-04,14:29:42,4,415,494,80,40.0,178.5,1264,207.5,247.0,632.0,3
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i6\0-12_04_23-14_29_42-i6.csv,R2_W1_12C,R2,W1,12C,i6,2023-12-04,14:29:42,5,534,570,37,18.5,238.0,1264,267.0,285.0,632.0,4
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\i6\0-12_04_23-14_29_42-i6.csv,R2_W1_12C,R2,W1,12C,i6,2023-12-04,14:29:42,6,594,650,57,28.5,268.0,1264,297.0,325.0,632.0,5
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\p1\0-12_04_23-14_42_36-p1.csv,R2_W1_12C,R2,W1,12C,p1,2023-12-04,14:42:36,3,188,239,52,26.0,70.5,1274,94.0,119.5,637.0,1
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\p1\0-12_04_23-14_42_36-p1.csv,R2_W1_12C,R2,W1,12C,p1,2023-12-04,14:42:36,4,258,293,36,18.0,105.5,1274,129.0,146.5,637.0,2
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\p1\0-12_04_23-14_42_36-p1.csv,R2_W1_12C,R2,W1,12C,p1,2023-12-04,14:42:36,5,312,344,33,16.5,132.5,1274,156.0,172.0,637.0,3
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\p1\0-12_04_23-14_42_36-p1.csv,R2_W1_12C,R2,W1,12C,p1,2023-12-04,14:42:36,6,369,413,45,22.5,161.0,1274,184.5,206.5,637.0,4
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\p1\0-12_04_23-14_42_36-p1.csv,R2_W1_12C,R2,W1,12C,p1,2023-12-04,14:42:36,7,429,478,50,25.0,191.0,1274,214.5,239.0,637.0,5
D:\PycnoStressMonitor\data\cold_box_flips\R2_W1_12C\p1\0-12_04_23-14_42_36-p1.csv,R2_W1_12C,R2,W1,12C,p1,2023-12-04,14:42:36,8,503,560,58,29.0,228.0,1274,251.5,280.0,637.0,6
